Key;English;Catalan;Spanish
DetectiveRecep_Fut00;;;(¿Es Lutece?¿No se supone que esto es el futuro? No parece haber envejecido. ¿Habrá funcionado esto?) Buenas tardes a usted también, muchacho.
DetectiveRecep_Fut01;;;Estoy aquí para hacerte un par de preguntitas. Como por ejemplo…
DetectiveRecep_Fut02;;;Hace ya un tiempo hubo aquí una tragedia y alguien perdió la vida en este mismo hotel.
DetectiveRecep_Fut03;;;No, muchacho. El cuerpo que se encontró fue el de una mujer. ¿Acaso murió alguien más aquí?
DetectiveRecep_Fut04;;;No lo creo, muchacho. Seguramente le ocurrió algo.
DetectiveRecep_Fut05;;;¿Por qué tratas de encontrarlo?
DetectiveRecep_Fut06;;;Entonces lo que te duele no es que tu padre os quisiera, sino que son las dudas de si os quiso a ti y a tu madre en algún momento. (Creo que puedo llegar a ayudar.)
DetectiveRecep_FutEnd;;;Bueno, muchacho. Espero que encuentres tu paz de una forma u otra. (¿Podría ayudar si le traigo un recuerdo de su padre?
RecepDetective_Fut00;;;Muy buenas tardes señor, ¿en qué puedo ayudarle?
RecepDetective_Fut01;;;¿En qué puedo ayudarle, señor?
RecepDetective_Fut02;;;Oh vaya… ¿de qué tipo, si se puede saber?
RecepDetective_Fut03;;;¿Era un hombre? Delgado y muy parecido a mi.
RecepDetective_Fut04;;;No que yo sepa, señor. Pero estuve investigando durante este último año sobre la desaparición de mi padre y antes que él mi abuelo . El último rastro que dejó mi padre fue en este hotel. Pero da igual, seguramente huyó cuando se enteró de que mi madre estaba embarazada, pero mi abuelo se marchó mucho antes..
RecepDetective_Fut05;;;Lo que pienso yo, señor, es que abandonó a su familia, y yo sigo trabajando en este hotel hasta que encuentre la siguiente pista o aparezca mi padre por arte de magia.
RecepDetective_Fut06;;;No lo sé, al final es mi padre.
RecepDetective_FutEnd;;;Puede ser, y puede ser que no. La verdad es que no sé cómo reaccionaría si llegara a aparecer mi padre por aquí algún día.
DetectiveJardinero_Fut00;;;(Si me reconoce mejor no quiere cooperar. Nadie se esperaría que no envejeciera.) No, la verdad. Soy un detective a cargo de un caso que ocurría cerca de aquí.
DetectiveJardinero_Fut01;;;(Parece afectar un poco más ahora…) Hemos reabierto el caso debido a nuevas pruebas. Ya sabe, abriendo heridas antiguas para prevenir de nuevas.
DetectiveJardinero_Fut02;;;¿Pasa algo, jardinero?
DetectiveJardinero_Fut03;;;¿Qué ha pasado?
DetectiveJardinero_Fut04;;;Comprendo tu preocupación. A veces, las relaciones familiares pueden ser complicadas.
DetectiveJardinero_Fut05;;;Seguro que tiene algún motivo para hacerlo, seguro que no quería que te preocuparas.
DetectiveJardinero_Fut06;;;(Tengo que ayudarle a recordar lo mucho que la quiere y la buena relación que tenían) No se preocupe, seguro que podrá perdonarla.
DetectiveJardinero_FutEnd;;;(Tengo que buscar algo que le recuerde su amor por ella…) Hasta luego.
JardineroDetective_Fut00;;;Me suenas, ¿has pasado por aquí alguna vez?
JardineroDetective_Fut01;;;¿Ah, sí?... Aquí nunca pasa nada… Desde hace mucho.
JardineroDetective_Fut02;;;A mí me lo va a decir…
JardineroDetective_Fut03;;;Es sobre mi hermana. Hace años que estoy en una situación bastante difícil con ella y no sé cómo solucionarlo. Estar distanciados tanto tiempo ha hecho que nuestra relación  haya acabado… así. 
JardineroDetective_Fut04;;;Resulta que se ha metido en un lío muy grande y no puedo evitar sentirme decepcionado. No sé cómo abordar la situación.
JardineroDetective_Fut05;;;Mi hermana me ocultó cosas importantes. Me siento traicionado y no sé cómo confiar en ella de nuevo.
JardineroDetective_Fut06;;;Lo sé y quiero hacer las paces, pero no sé por qué debería hacerlas con alguien en quien no puedo confiar.
JardineroDetective_Fut07;;;No se yo…
JardineroDetective_FutEnd;;;Adiós.
DetectiveBuganvilla_Fut00;;;Hola Guillermo, ¿cómo va el negocio?
DetectiveBuganvilla_Fut01;;;Soy el detective…
DetectiveBuganvilla_Fut02;;;Créame que más joven no estoy. Pero me sorprende que me recuerde.
DetectiveBuganvilla_Fut03;;;Parece que tomárselo con tanta positividad no cambió el hecho de que fuera un evento traumático para usted.
DetectiveBuganvilla_Fut04;;;(“Se lo quitó”, ¿está insinuando que la víctima sabía que iba a morir?) ¿Y ese anillo donde se encontró?
DetectiveBuganvilla_Fut05;;;No creo que lo fuera para usted.
DetectiveBuganvilla_Fut06;;;(Amigo. Este hombre debe de haber revivido el mismo día durante años) No se preocupe, yo lo encontraré.
DetectiveBuganvilla_FutEnd;;;No me rete.
BuganvillaDetective_Fut00;;;Viento en popa y a toda vela. Pero yo ya voy notando el paso de los años. ¿Y usted quién es, joven?
BuganvillaDetective_Fut01;;;Umberto Helecho… Me lo suponía. No le ha sentado tan mal el paso de los años, eh. Parece incluso un poco más joven de lo que recordaba, pero eso ya sería imposible.
BuganvillaDetective_Fut02;;;No podría olvidar ese día, aunque quisiera. Fue el día más importante en mi memoria.
BuganvillaDetective_Fut03;;;Oh, no. Ahí se equivoca, inspector. Lo cambió todo, hizo que me arrepintiera cada día que pasaba, lo hizo aún peor. No lo dije en el momento, pero… se quitó el anillo. Cuándo la encontraron, no llevaba el anillo que yo le di. Un anillo que me gané con sudor y sangre antes de tener ningún negocio.
BuganvillaDetective_Fut04;;;Nunca se encontró, pero supongo que si ella no lo quiso, era un trozo de metal cualquiera.
BuganvillaDetective_Fut05;;;A veces yo también me intento convencer de eso querido amigo.
BuganvillaDetective_FutEnd;;;No creo que lo encuentre, ni que tuviera una máquina del tiempo.
Next;Next;Següent;Siguiente
...;;;
